world_rank,institution,country,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,year
133,Western University (The University of Western Ontario),Canada,0.0175,1.0,0.0707,1.0,0.1481,0.2091,0.2873,0.1892,0.2989,0.0945,2015
134,Radboud University Nijmegen,Netherlands,0.0263,0.347,0.4823,1.0,0.0881,0.1192,0.1134,0.0731,0.4701,0.0943,2015
135,Nanyang Technological University,Singapore,0.0044,1.0,1.0,1.0,0.1011,0.3636,0.2602,0.2032,0.0356,0.0941,2015
136,Technion – Israel Institute of Technology,Israel,0.0132,0.1202,0.3163,0.2488,0.1852,0.2222,0.1973,0.2082,0.1,0.0911,2015
137,University of Miami,USA,0.2763,1.0,0.424,1.0,0.1582,0.1303,0.0999,0.1111,0.0828,0.0906,2015
138,Stony Brook University,USA,0.2807,0.5055,1.0,0.2627,0.1722,0.0838,0.1134,0.1331,0.1092,0.0906,2015
139,University of Texas at Dallas,USA,0.2851,1.0,0.2792,1.0,0.2492,0.1515,0.0715,0.048,0.3586,0.0899,2015
140,University of Nottingham,United Kingdom,0.0395,0.3552,0.1908,0.3825,0.1151,0.1768,0.1788,0.1391,0.1575,0.0893,2015
141,University of Iowa,USA,0.2895,0.6339,0.5212,0.765,0.1021,0.0828,0.1406,0.1111,0.1379,0.0891,2015
142,Southern Methodist University,USA,0.2939,0.4863,0.0477,1.0,0.6236,0.6606,0.4525,0.6456,0.946,0.0888,2015
143,Icahn School of Medicine at Mount Sinai,USA,0.2982,1.0,1.0,1.0,0.1592,0.0707,0.1973,0.0621,0.1149,0.0882,2015
144,Korea Advanced Institute of Science and Technology (KAIST),South Korea,0.0132,1.0,0.341,1.0,0.1822,0.2848,0.4525,0.2883,0.008,0.0881,2015
145,Monash University,Australia,0.0175,0.7541,0.2544,1.0,0.0851,0.1364,0.2232,0.1602,0.1126,0.0874,2015
146,University of Alabama at Birmingham,USA,0.3026,1.0,1.0,1.0,0.1401,0.1242,0.1566,0.0701,0.1483,0.0852,2015
147,Free University of Berlin,Germany,0.0132,0.2049,0.9664,0.5853,0.1081,0.0798,0.2873,0.0891,0.5287,0.085,2015
148,University of Southampton,United Kingdom,0.0439,0.8962,0.1661,1.0,0.1141,0.1333,0.1233,0.1291,0.3828,0.0849,2015
149,University of the Witwatersrand,South Africa,0.0,0.1639,0.0548,0.788,0.4414,0.2384,0.3946,0.4464,0.3333,0.0845,2015
150,McMaster University,Canada,0.0219,0.6038,0.4717,0.7465,0.1261,0.1566,0.1233,0.0861,0.254,0.0843,2015
151,University of Montreal,Canada,0.0263,0.8716,0.6625,1.0,0.1001,0.1111,0.1233,0.0891,0.6195,0.084,2015
152,University of Birmingham,United Kingdom,0.0482,0.1749,0.2774,0.9401,0.1161,0.1657,0.1788,0.1371,0.1943,0.0836,2015
153,Humboldt University of Berlin,Germany,0.0175,0.7923,1.0,0.4931,0.1071,0.0818,0.1973,0.0841,0.5402,0.0825,2015
154,"University of California, Santa Cruz",USA,0.307,0.4754,1.0,0.4562,0.2422,0.0485,0.1406,0.0981,0.2092,0.0816,2015
155,Albert Ludwig University of Freiburg,Germany,0.0219,0.4016,0.235,0.8848,0.1552,0.104,0.2232,0.1331,0.1115,0.0813,2015
156,University of Tübingen,Germany,0.0263,0.1858,0.864,0.47,0.1411,0.1222,0.1788,0.1141,0.2586,0.0811,2015
157,University of Cincinnati,USA,0.3114,0.5109,0.1502,1.0,0.1491,0.1717,0.1566,0.1261,0.3011,0.0811,2015
